Time	Open	High	Low	Close	Volume	spread	SMA	EMA	RSI	MACD
1641175200	1830.63	1831.82	1828.03	1828.49	1353	25	1843.99	1843.99	1843.99	1843.99
1641178800	1828.47	1831.0	1827.0	1830.23	2500	8	1843.5	1843.5	1843.5	1843.5
1641182400	1830.16	1831.56	1827.6	1828.89	2739	5	1842.57	1842.57	1842.57	1842.57
1641186000	1828.86	1828.96	1825.71	1826.21	2082	12	1839.67	1839.67	1839.67	1839.67
1641189600	1826.22	1826.86	1824.14	1825.62	1940	5	1844.59	1844.59	1844.59	1844.59
1641193200	1825.64	1825.89	1824.55	1825.09	1054	5	1839.81	1839.81	1839.81	1839.81
1641196800	1825.1	1825.7	1823.72	1825.45	1553	5	1839.56	1839.56	1839.56	1839.56
1641200400	1825.44	1825.73	1823.61	1825.17	1649	5	1834.3	1834.3	1834.3	1834.3
1641204000	1825.19	1825.29	1820.93	1824.27	2811	5	1833.48	1833.48	1833.48	1833.48
1641207600	1824.27	1824.38	1821.34	1822.82	3223	5	1837.27	1837.27	1837.27	1837.27
1641211200	1822.83	1826.69	1822.41	1826.33	2917	5	1836.3	1836.3	1836.3	1836.3
1641214800	1826.33	1827.45	1825.47	1826.37	2441	5	1833.81	1833.81	1833.81	1833.81
1641218400	1826.42	1827.12	1822.34	1823.0	2937	5	1828.89	1828.89	1828.89	1828.89
1641222000	1823.0	1823.32	1821.38	1821.82	3275	5	1832.62	1832.62	1832.62	1832.62
1641225600	1821.83	1822.07	1805.71	1807.17	11659	5	1831.63	1831.63	1831.63	1831.63
1641229200	1807.13	1811.04	1802.84	1802.94	11170	5	1831.91	1831.91	1831.91	1831.91
1641232800	1802.94	1806.75	1799.79	1801.97	10275	5	1830.6	1830.6	1830.6	1830.6
1641236400	1801.93	1801.98	1798.32	1800.73	6765	5	1829.38	1829.38	1829.38	1829.38
1641240000	1800.74	1800.97	1798.81	1799.69	3996	5	1828.02	1828.02	1828.02	1828.02
1641243600	1799.65	1802.28	1799.12	1801.7	3857	5	1824.99	1824.99	1824.99	1824.99
1641247200	1801.72	1803.0	1801.07	1801.72	2516	5	1828.15	1828.15	1828.15	1828.15
1641250800	1801.73	1804.53	1801.19	1801.68	3049	8	1825.0	1825.0	1825.0	1825.0
1641254400	1801.73	1802.17	1800.98	1801.2	1466	5	1824.76	1824.76	1824.76	1824.76
1641261600	1802.46	1804.27	1802.21	1804.13	1012	20	1822.98	1822.98	1822.98	1822.98
1641265200	1804.13	1804.82	1802.92	1804.4	1966	5	1817.44	1817.44	1817.44	1817.44
1641268800	1804.34	1806.88	1803.15	1805.13	5572	8	1820.52	1820.52	1820.52	1820.52
1641272400	1805.11	1807.01	1804.6	1805.39	3269	5	1820.69	1820.69	1820.69	1820.69
1641276000	1805.36	1806.11	1803.83	1804.15	2907	8	1819.45	1819.45	1819.45	1819.45
1641279600	1804.16	1804.22	1803.16	1803.38	2112	5	1823.92	1823.92	1823.92	1823.92
1641283200	1803.4	1805.52	1803.12	1805.42	2469	8	1824.1	1824.1	1824.1	1824.1
1641286800	1805.43	1806.04	1803.35	1803.47	2991	6	1826.25	1826.25	1826.25	1826.25
1641290400	1803.49	1807.35	1803.15	1805.75	3593	5	1826.47	1826.47	1826.47	1826.47
1641294000	1805.77	1806.82	1803.33	1804.01	3854	5	1825.81	1825.81	1825.81	1825.81
1641297600	1804.04	1806.72	1801.95	1805.7	3872	5	1825.97	1825.97	1825.97	1825.97
1641301200	1805.7	1808.56	1805.32	1805.67	3185	5	1824.82	1824.82	1824.82	1824.82
1641304800	1805.67	1805.67	1802.41	1804.11	3551	5	1828.93	1828.93	1828.93	1828.93
1641308400	1804.14	1805.07	1798.51	1801.24	5857	5	1826.44	1826.44	1826.44	1826.44
1641312000	1801.24	1807.28	1799.72	1807.14	8489	5	1824.83	1824.83	1824.83	1824.83
1641315600	1807.14	1810.84	1806.35	1810.15	10244	5	1823.91	1823.91	1823.91	1823.91
1641319200	1811.37	1816.74	1807.57	1814.59	10913	5	1823.57	1823.57	1823.57	1823.57
1641322800	1814.59	1815.6	1811.67	1812.59	6923	5	1823.89	1823.89	1823.89	1823.89
